"cow","year","terrorinclead","terrorinc","totspendrevlog","transferslog","welfarelog","poplog","democ","govcap","conflict","govleft","tradelog","europe","africa","asia","america","gdppclog","totspendrevper","welfarepercent","transfersper"
2,1994,3,2,-1.65078091621399,-2.18480205535889,-1.80727922916412,19.3816108703613,10,1.08538579940796,0,1,3.09044051170349,0,0,0,1,10.2095699310303,19.1900005340576,16.4099998474121,11.25
2,1995,6,3,-1.61646258831024,-2.01066207885742,NA,19.3944892883301,10,1.05676293373108,0,1,3.15530371665955,0,0,0,1,10.2500495910645,19.8599987030029,NA,13.3899984359741
20,1975,1,1,-1.59258079528809,-3.29954385757446,-2.19373059272766,16.9600505828857,10,1.22830355167389,0,1,3.85093593597412,0,0,0,1,8.90666484832764,20.3400001525879,11.1500005722046,3.6899995803833
20,1976,1,1,-1.65757834911346,-3.27809524536133,NA,16.9732799530029,10,1.20944964885712,0,1,3.81497836112976,0,0,0,1,8.96046733856201,19.0599994659424,NA,3.76999974250793
20,1977,0,1,-1.74011623859406,-3.36679601669312,NA,16.9850292205811,10,1.17732238769531,0,1,3.84824872016907,0,0,0,1,9.02063179016113,17.5500011444092,NA,3.44999980926514
20,1978,0,0,-1.75851809978485,-3.31318640708923,NA,16.995059967041,10,1.18726587295532,0,1,3.91366195678711,0,0,0,1,9.12847900390625,17.2299995422363,NA,3.64000058174133
20,1979,1,0,-1.74525761604309,-3.38434028625488,NA,17.0050392150879,10,1.19761991500854,0,1,3.98047804832458,0,0,0,1,9.2706823348999,17.4600009918213,NA,3.39000010490417
20,1980,0,1,-1.6847003698349,-3.39025735855103,-2.29560947418213,17.0179691314697,10,1.15527760982513,0,0,4.00029182434082,0,0,0,1,9.37678623199463,18.5499992370605,10.0700006484985,3.37000036239624
20,1981,4,0,-1.59454929828644,-3.32146239280701,-2.26528930664062,17.0303802490234,10,1.21816003322601,0,1,3.97965836524963,0,0,0,1,9.45704460144043,20.2999992370605,10.3800001144409,3.6100001335144
20,1982,2,4,-1.63168346881866,-3.3610155582428,-2.24431610107422,17.0424308776855,10,1.1712634563446,0,1,3.86650800704956,0,0,0,1,9.43092060089111,19.5599994659424,10.5999994277954,3.47000026702881
20,1983,1,2,-1.65757834911346,-3.1559009552002,-2.19193863868713,17.0524597167969,10,1.18250739574432,0,1,3.8716995716095,0,0,0,1,9.4331636428833,19.0599994659424,11.1700000762939,4.26000022888184
20,1984,4,1,-1.65130209922791,-3.17485904693604,-2.23399233818054,17.0620803833008,10,1.18767762184143,0,1,3.99256253242493,0,0,0,1,9.52988433837891,19.1800003051758,10.710000038147,4.17999982833862
20,1985,4,4,-1.65757834911346,-3.15121722221375,-2.24337315559387,17.0713691711426,10,1.19364798069,0,0,4.00266647338867,0,0,0,1,9.62066078186035,19.0599994659424,10.6099996566772,4.27999973297119
20,1986,1,4,-1.62862074375153,-3.1281213760376,-2.20909476280212,17.0814208984375,10,1.22561419010162,0,0,4.01275110244751,0,0,0,1,9.70332813262939,19.6199989318848,10.9799995422363,4.38000059127808
20,1987,0,1,-1.59849798679352,-3.15121722221375,-2.23119521141052,17.094539642334,10,1.22821342945099,0,0,3.97068977355957,0,0,0,1,9.8183650970459,20.2199993133545,10.7399997711182,4.27999973297119
20,1988,4,0,-1.6250593662262,-3.17725419998169,-2.25189208984375,17.1074504852295,10,1.22396659851074,0,0,3.97680854797363,0,0,0,1,9.91945934295654,19.689998626709,10.5200004577637,4.16999959945679
20,1989,0,4,-1.59110689163208,-3.22137904167175,-2.28278255462646,17.1252899169922,10,0.867174565792084,0,0,3.95043158531189,0,0,0,1,9.91343784332275,20.3700008392334,10.1999998092651,3.98999977111816
20,1990,2,0,-1.57358825206757,-3.17008566856384,-2.2358615398407,17.1402206420898,10,0.840761780738831,0,0,3.95412588119507,0,0,0,1,9.90956878662109,20.730001449585,10.6899995803833,4.19999980926514
20,1991,1,2,-1.55826961994171,-3.05973768234253,-2.13961625099182,17.153829574585,10,0.822292983531952,1,0,3.94173002243042,0,0,0,1,9.89892673492432,21.0499992370605,11.7699995040894,4.6899995803833
20,1992,1,1,-1.56494271755219,-2.93557834625244,-2.07465314865112,17.1660995483398,10,0.790960490703583,0,0,4.01314306259155,0,0,0,1,9.93522834777832,20.9099998474121,12.5599994659424,5.30999994277954
20,1993,0,1,-1.57503652572632,-2.93369698524475,-2.09801292419434,17.1770496368408,10,0.777300000190735,0,0,4.11603116989136,0,0,0,1,9.96279335021973,20.7000007629395,12.2699995040894,5.31999969482422
20,1994,0,0,-1.57793915271759,-2.96811723709106,-2.14387345314026,17.1866607666016,10,0.777556657791138,0,1,4.21819019317627,0,0,0,1,10.0191802978516,20.6400012969971,11.7199993133545,5.13999938964844
20,1995,0,0,-1.68254637718201,-3.05124497413635,NA,17.1949405670166,10,0.769016206264496,0,1,4.28471994400024,0,0,0,1,10.0684900283813,18.5900001525879,NA,4.73000001907349
31,1975,1,0,-1.67664659023285,-3.11903047561646,-2.31567025184631,12.1494998931885,NA,1.32889270782471,0,0,NA,0,0,0,1,8.39683246612549,18.7000007629395,9.86999988555908,4.42000007629395
31,1976,0,1,-1.65862810611725,-3.02825546264648,NA,12.1704502105713,NA,1.32680284976959,0,0,NA,0,0,0,1,8.43728446960449,19.0400009155273,NA,4.84000015258789
31,1977,0,0,-1.81216633319855,-3.0261914730072,NA,12.1909599304199,NA,1.37927317619324,0,0,5.00256156921387,0,0,0,1,8.54012775421143,16.3299999237061,NA,4.85000038146973
31,1978,0,0,-1.78022623062134,-3.0261914730072,NA,12.2110595703125,NA,1.58869230747223,0,0,5.01183605194092,0,0,0,1,8.76981830596924,16.8599987030029,NA,4.85000038146973
31,1979,0,0,-1.74640381336212,-3.24419355392456,NA,12.2356300354004,NA,1.79242646694183,0,0,4.86039590835571,0,0,0,1,9.03169345855713,17.4400005340576,NA,3.90000057220459
31,1980,0,0,-1.57021713256836,-3.35526847839355,NA,12.2548599243164,NA,1.73321640491486,0,0,4.89229106903076,0,0,0,1,9.1558837890625,20.8000011444092,NA,3.48999977111816
31,1981,0,0,-1.55731987953186,-3.16533517837524,NA,12.2737302780151,NA,1.57344031333923,0,0,4.8656177520752,0,0,0,1,9.10897159576416,21.0699996948242,NA,4.21999931335449
31,1982,0,0,-1.57358825206757,-3.14655518531799,-2.434974193573,12.2968301773071,NA,1.58945095539093,0,0,4.83100938796997,0,0,0,1,9.13991832733154,20.730001449585,8.76000022888184,4.29999971389771
31,1983,0,0,-1.47272408008575,-3.04072976112366,-2.37730860710144,12.3193998336792,NA,1.60342705249786,0,0,4.82498407363892,0,0,0,1,9.13991832733154,22.9300003051758,9.27999973297119,4.77999925613403
31,1984,0,0,-1.44477128982544,-3.09444832801819,-2.47456026077271,12.341480255127,NA,1.72517335414886,0,0,4.80316066741943,0,0,0,1,9.30072975158691,23.5799999237061,8.42000007629395,4.52999973297119
31,1985,0,0,-1.46058702468872,-3.06401109695435,-2.4793221950531,12.3544902801514,NA,1.74719369411469,0,0,4.82077884674072,0,0,0,1,9.37991428375244,23.2099990844727,8.38000011444092,4.67000007629395
